25,0,0,13,6,0,35,0,0,0,1,0,0,0,7,13,0,0,0
10,6,0,15,0,0,32,1,1,0,1,0,0,0,4,2,0,0,0
4,2,2,15,1,0,31,2,1,0,1,0,0,0,2,0,0,0,0
11,1,0,134,0,0,129,0,1,0,7,2,0,1,3,2,0,1,0
3,0,0,17,12,0,60,0,0,0,2,0,0,0,1,12,0,0,0
0,0,2,4,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,31,4,0,460,1,1,0,9,0,0,3,4,5,0,0,0
1,3,2,27,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0
7,2,3,12,0,0,33,3,2,0,5,0,0,1,0,0,0,0,0
0,0,0,2,0,0,27,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,20,3,0,56,0,1,0,48,0,1,0,1,9,0,0,0
0,0,1,3,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,3,0,0,35,1,0,0,6,0,1,0,2,7,0,0,0
0,0,0,35,0,0,112,0,0,0,0,0,0,6,0,1,0,0,0
9,2,0,19,1,0,39,0,0,0,8,0,0,0,8,2,0,0,0
15,1,0,14,6,0,75,0,0,0,34,0,0,0,0,13,0,0,0
0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0
2,0,0,2,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
