label,precision,recall,f1,support,TP,FP,FN,TN
monsters,1.0,0.08235294117647059,0.15217391304347827,85,7,0,78,1925
aliens,1.0,0.08235294117647059,0.15217391304347827,85,7,0,78,1925
challenging or sexual themes & twists,0.0,0.0,0.0,85,0,0,85,1925
sci-fi and the apocalypse,1.0,0.08235294117647059,0.15217391304347827,85,7,0,78,1925
and swordplay,0.0,0.0,0.0,82,0,0,82,1928
music,1.0,0.036585365853658534,0.07058823529411765,82,3,0,79,1928
fantasy adventure,0.0,0.0,0.0,82,0,0,82,1928
heroism,0.0,0.0,0.0,82,0,0,82,1928
powerful poetic and passionate drama,0.0,0.0,0.0,80,0,0,80,1930
gripping,0.0,0.0,0.0,79,0,0,79,1931
intriguing and suspenseful murder mysteries,1.0,0.02531645569620253,0.04938271604938272,79,2,0,77,1931
intense violent crime,0.0,0.0,0.0,79,0,0,79,1931
fairy-tale fantasy and enchanted magic,0.0,0.0,0.0,78,0,0,78,1932
holiday joy and heartwarming christmas,1.0,0.038461538461538464,0.07407407407407407,78,3,0,75,1932
song and dance,0.0,0.0,0.0,78,0,0,78,1932
noir and dark crime dramas,0.0,0.0,0.0,77,0,0,77,1933
gritty crime and ruthless gangsters,0.0,0.0,0.0,77,0,0,77,1933
sci-fi horror,0.0,0.0,0.0,77,0,0,77,1933
creatures,0.0,0.0,0.0,77,0,0,77,1933
and aliens,0.0,0.0,0.0,77,0,0,77,1933
heists and thrilling action,0.0,0.0,0.0,76,0,0,76,1934
politics and human rights,0.0,0.0,0.0,76,0,0,76,1934
violent crime and drugs,0.0,0.0,0.0,75,0,0,75,1935
adorable animals and heartwarming families,0.0,0.0,0.0,73,0,0,73,1937
intense political and terrorist thrillers,0.0,0.0,0.0,72,0,0,72,1938
documentary,1.0,0.06944444444444445,0.12987012987012989,72,5,0,67,1938
erotic relationships and desire,0.0,0.0,0.0,71,0,0,71,1939
graphic violence and brutal revenge,0.0,0.0,0.0,70,0,0,70,1940
action-packed space and alien sagas,0.75,0.04411764705882353,0.08333333333333334,68,3,1,65,1941
war and historical adventure,1.0,0.06153846153846154,0.11594202898550725,65,4,0,61,1945
student coming-of-age challenges,1.0,0.015873015873015872,0.03125,63,1,0,62,1947
historical battles and epic heroism,0.0,0.0,0.0,61,0,0,61,1949
war,1.0,0.1,0.18181818181818182,60,6,0,54,1950
emotional lgbtq relationships,0.0,0.0,0.0,57,0,0,57,1953
military combat and heroic soldiers,1.0,0.07142857142857142,0.13333333333333333,56,4,0,52,1954
intense combat and martial arts,0.0,0.0,0.0,56,0,0,56,1954
